,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,loc,name,sector,sr,x,y
0,0,0,0,0.0,216.0,216.0,350.0,350.0,,,"[28.501240399999997,77.066351]",Hyatt Palace,"Sector 18, Gurugram, Haryana 122022, India",216,28.5012404,77.066351
1,1,1,624,624.0,624.0,625.0,625.0,2297.0,2297.0,,"[28.558075,77.004126]",Chhawla Village Shamash Vihar,"Sec 115, Bajghera, Gurugram, Haryana, India",625,28.558075,77.004126
2,2,2,625,0.0,,,,,,,"[28.99,838.83]",suyash,SECTOR 123123,625,,
3,3,623,623,623.0,623.0,623.0,624.0,624.0,2296.0,2296.0,"[28.557962899999996,77.00442190000001]",Chhawla Village Shamash Vihar,"Sec 115, Bajghera, Gurugram, Haryana, India",624,28.5579629,77.00442190000003
4,4,624,0,,,,,,,,"[123,234]",suyash,suyash,624,,
