,Unnamed: 0,sector,name,x,y,loc
37,37,"Sector 2, Palam Vihar, Gurugram, Haryana 122017, India",Major Sushil Aima Marg / Sector 23 Gate No 3/23 A,28.509053,77.044653,"[28.509053,77.044653]"
38,38,"Sector 2, Palam Vihar, Gurugram, Haryana 122017, India",Major Sushil Aima Marg / Sector 23 Gate No 3/23 A,28.508938,77.04543699999998,"[28.508938,77.04543699999998]"
39,39,"Sector 2, Palam Vihar, Gurugram, Haryana 122017, India",Major Sushil Aima Marg / Sector 23 Gate No 2/23 A,28.507959000000003,77.04782900000001,"[28.507959000000003,77.04782900000001]"
40,40,"Sector 3, Gurugram, Haryana, India",Ashok Vihar Phase 3 Extension,28.494451,77.020484,"[28.494451,77.020484]"
41,41,"Sector 3, Gurugram, Haryana, India",Ashok Vihar Phase 3 Extension,28.494615000000003,77.020397,"[28.494615000000003,77.020397]"
42,42,"Sector 3, Gurugram, Haryana, India",Sector 5 Chowk,28.4848,77.0184,"[28.4848,77.0184]"
43,43,"Sector 3, Gurugram, Haryana, India",Sector 5 Chowk,28.484296999999998,77.01820500000001,"[28.484296999999998,77.01820500000001]"
44,44,"Sector 3, Gurugram, Haryana, India",Daulatabad Flyover,28.485215999999998,77.01173700000002,"[28.485215999999998,77.01173700000002]"
45,45,"Sector 3, Gurugram, Haryana, India",Apna Enclave,28.484146000000003,77.01317999999998,"[28.484146000000003,77.01317999999998]"
46,46,"Sector 3, Gurugram, Haryana, India",Park View Residency,28.497359000000003,77.022736,"[28.497359000000003,77.022736]"
47,47,"Sector 3, Gurugram, Haryana, India",Daulatabad,28.48503,77.011403,"[28.48503,77.011403]"
48,48,"Sector 3, Gurugram, Haryana, India",Apna Enclave,28.48380000000001,77.01303500000002,"[28.48380000000001,77.01303500000002]"
49,49,"Sector 3, Gurugram, Haryana, India",Park View Residency,28.497734,77.02281500000001,"[28.497734,77.02281500000001]"
50,50,"Sector 3, Gurugram, Haryana, India",Baba Prakash Puri Chowk B,28.481793,77.016526,"[28.481793,77.016526]"
51,51,"Sector 3, Gurugram, Haryana, India",Gurugram Railway Station,28.485549,77.00874499999998,"[28.485549,77.00874499999998]"
52,52,"Sector 3, Gurugram, Haryana, India",Gurugram Railway Station,28.485443,77.008676,"[28.485443,77.008676]"
53,53,"Sector 3, Gurugram, Haryana, India",Sector 5 Ramleela Ground,28.482215999999998,77.022325,"[28.482215999999998,77.022325]"
54,54,"Sector 3, Gurugram, Haryana, India",Sector 5 Ramleela Ground,28.4822,77.0226,"[28.4822,77.0226]"
55,55,"Sector 3, Gurugram, Haryana, India",Laxman Vihar / Sneh Hospital,28.481278999999997,77.014183,"[28.481278999999997,77.014183]"
56,56,"Sector 3, Gurugram, Haryana, India",Junction Bus Stop,28.48109769999999,77.0144445,"[28.48109769999999,77.0144445]"
